# slide	img_id	label	path
JUKP1RFJ	1	0	Data/CroppedRegions/512/BrightfieldSegmented/JUKP1RFJ/JUKP1RFJ-1.png
JUKP1RFJ	2	0	Data/CroppedRegions/512/BrightfieldSegmented/JUKP1RFJ/JUKP1RFJ-2.png
JUKP1RFJ	3	0	Data/CroppedRegions/512/BrightfieldSegmented/JUKP1RFJ/JUKP1RFJ-3.png
JUKP1RFJ	4	0	Data/CroppedRegions/512/BrightfieldSegmented/JUKP1RFJ/JUKP1RFJ-4.png
JUKP1RFJ	5	0	Data/CroppedRegions/512/BrightfieldSegmented/JUKP1RFJ/JUKP1RFJ-5.png
JUKP1RFJ	6	0	Data/CroppedRegions/512/BrightfieldSegmented/JUKP1RFJ/JUKP1RFJ-6.png
JUKP1RFJ	7	0	Data/CroppedRegions/512/BrightfieldSegmented/JUKP1RFJ/JUKP1RFJ-7.png
JUKP1RFJ	8	0	Data/CroppedRegions/512/BrightfieldSegmented/JUKP1RFJ/JUKP1RFJ-8.png
JUKP1RFJ	9	0	Data/CroppedRegions/512/BrightfieldSegmented/JUKP1RFJ/JUKP1RFJ-9.png
JUKP1RFJ	10	0	Data/CroppedRegions/512/BrightfieldSegmented/JUKP1RFJ/JUKP1RFJ-10.png
JUKP1RFJ	11	0	Data/CroppedRegions/512/BrightfieldSegmented/JUKP1RFJ/JUKP1RFJ-11.png
JUKP1RFJ	12	0	Data/CroppedRegions/512/BrightfieldSegmented/JUKP1RFJ/JUKP1RFJ-12.png
JUKP1RFJ	13	0	Data/CroppedRegions/512/BrightfieldSegmented/JUKP1RFJ/JUKP1RFJ-13.png
WLYET66H	1	0	Data/CroppedRegions/512/BrightfieldSegmented/WLYET66H/WLYET66H-1.png
WLYET66H	2	0	Data/CroppedRegions/512/BrightfieldSegmented/WLYET66H/WLYET66H-2.png
WLYET66H	3	0	Data/CroppedRegions/512/BrightfieldSegmented/WLYET66H/WLYET66H-3.png
WLYET66H	4	0	Data/CroppedRegions/512/BrightfieldSegmented/WLYET66H/WLYET66H-4.png
WLYET66H	5	0	Data/CroppedRegions/512/BrightfieldSegmented/WLYET66H/WLYET66H-5.png
WLYET66H	6	0	Data/CroppedRegions/512/BrightfieldSegmented/WLYET66H/WLYET66H-6.png
WLYET66H	7	0	Data/CroppedRegions/512/BrightfieldSegmented/WLYET66H/WLYET66H-7.png
WLYET66H	8	0	Data/CroppedRegions/512/BrightfieldSegmented/WLYET66H/WLYET66H-8.png
WLYET66H	9	0	Data/CroppedRegions/512/BrightfieldSegmented/WLYET66H/WLYET66H-9.png
WLYET66H	10	0	Data/CroppedRegions/512/BrightfieldSegmented/WLYET66H/WLYET66H-10.png
WLYET66H	11	0	Data/CroppedRegions/512/BrightfieldSegmented/WLYET66H/WLYET66H-11.png
40A08NST	1	0	Data/CroppedRegions/512/BrightfieldSegmented/40A08NST/40A08NST-1.png
40A08NST	2	0	Data/CroppedRegions/512/BrightfieldSegmented/40A08NST/40A08NST-2.png
40A08NST	3	0	Data/CroppedRegions/512/BrightfieldSegmented/40A08NST/40A08NST-3.png
40A08NST	4	0	Data/CroppedRegions/512/BrightfieldSegmented/40A08NST/40A08NST-4.png
40A08NST	5	0	Data/CroppedRegions/512/BrightfieldSegmented/40A08NST/40A08NST-5.png
40A08NST	6	0	Data/CroppedRegions/512/BrightfieldSegmented/40A08NST/40A08NST-6.png
40A08NST	7	0	Data/CroppedRegions/512/BrightfieldSegmented/40A08NST/40A08NST-7.png
